"","Defence spending (current USDm)",,,"Defence spending per capita (current USD)",,,"Defence spending % of GDP",,,"Active armed forces (000)","Estimated reservists (000)","Active paramilitary (000)"
"Moldova","44","52","46","13","16","14","0.39","0.38","0.32","5","58","1"
"Russia [a]","42,671","48,531","66,857","301","341","471","2.87","2.73","3.13","1,190","1,500","559"
"Tajikistan","89","94","107","10","10","12","1.09","1.07","1.07","9","0","8"
"Turkmenistan*","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","37","0","20"
"Ukraine [b]","4,353","4,298","3,547","99","98","81","2.86","2.21","n.k.","688","400","250"
"Uzbekistan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","48","0","20"
"Total**","52,367","58,751","76,955","117","126","148","2.37","2.13","1.97","2,202","2,758","1,033"
"Asia","","","","","","","","","","","",""
"Afghanistan","2,014","n.k.","n.k.","55","n.k.","n.k.","10.00","n.k.","n.k.","100","0","0"
"Australia","31,418","34,185","33,841","1,234","1,324","1,295","2.31","2.09","1.96","60","30","0"
"Bangladesh","3,786","4,059","4,320","23","25","26","1.01","0.98","0.94","163","0","64"
"Brunei","439","454","435","946","964","910","3.66","3.24","2.36","7","1","1"
"Cambodia*","1,032","1,024","1,003","61","59","60","4.10","3.89","3.54","124","0","67"
"China","187,208","213,923","242,409","134","152","171","1.26","1.21","1.20","2,035","510","500"
"Fiji","52","46","44","55","49","46","1.16","1.07","0.90","4","6","0"
"India","65,307","67,498","66,645","49","50","48","2.45","2.13","1.92","1,468","1,155","1,608"
"Indonesia","8,116","8,407","9,059","30","31","33","0.77","0.71","0.70","396","400","280"
"Japan","53,758","52,198","48,079","428","419","387","1.07","1.06","1.12","247","56","14"
"Korea, DPR of","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","1,280","600","189"
"Korea, Republic of","40,999","46,258","42,991","791","894","829","2.49","2.55","2.48","555","3,100","14"
"Laos","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","29","0","100"
"Malaysia","3,709","3,829","4,148","114","114","122","1.10","1.03","0.96","113","52","23"
"Maldives","82","92","101","210","236","258","2.20","1.78","1.71","4","0","0"
"Mongolia","105","100","90","33","31","28","0.81","0.67","0.59","10","137","8"
"Myanmar","2,390","3,409","1,876","42","60","33","2.94","5.23","3.15","356","0","107"
"Nepal","435","413","421","14","14","14","1.29","1.15","1.08","97","0","15"
"New Zealand","3,287","3,269","3,353","667","655","664","1.56","1.32","1.38","9","3","0"
"Pakistan","9,363","10,300","9,768","40","43","40","3.12","2.96","2.59","652","0","291"
"Papua New Guinea","95","88","99","13","12","10","0.39","0.32","0.32","4","0","0"
"Philippines","5,269","5,660","5,462","48","51","48","1.47","1.45","1.37","145","131","12"
"Singapore","9,879","11,433","11,919","1,591","1,949","2,013","2.86","2.88","2.81","51","253","7"
"Sri Lanka","1,683","1,548","1,154","74","67","50","1.97","1.74","1.56","255","6","62"
"Taiwan","13,903","16,179","16,164","589","686","685","2.08","2.09","1.95","169","1,657","12"
"Thailand","6,839","6,708","6,171","99","97","89","1.37","1.33","1.16","361","200","94"
"Timor-Leste","42","39","44","30","28","31","2.19","1.66","1.80","2","0","0"
"Tonga","10","5","8","94","48","77","2.04","1.08","1.63","1","0","0"
"Vietnam*","5,724","6,308","6,030","58","61","58","1.67","1.73","1.46","482","5,000","40"
"Total **","456,944","497,432","515,635","279","312","309","2.20","1.82","1.64","9,178","13,295","3,507"
"Middle East and North Africa",,,,,,,,,,,,
"Algeria","9,699","9,088","8,945","226","209","202","6.69","5.59","4.78","139","150","187"
"Bahrain","1,405","1,399","1,399","934","916","908","4.05","3.61","3.22","8","0","11"
"Egypt","4,106","4,839","5,211","39","45","48","1.41","1.45","1.39","439","479","397"
"Iran","16,549","28,102","44,011","195","327","507","1.70","1.77","2.23","610","350","40"
"Iraq","10,191","7,423","8,690","262","187","215","6.01","3.71","3.16","193","0","266"
"Israel","17,234","20,408","19,350","1,987","2,323","2,171","4.97","4.85","4.30","170","465","8"
"Jordan","1,719","1,801","1,933","159","165","176","4.90","4.91","4.75","101","65","15"
"Kuwait","6,823","9,635","9,172","2,279","3,178","2,989","6.44","7.10","5.00","18","24","7"
"Lebanon","741","n.k.","n.k.","136","n.k.","n.k.","3.03","n.k.","n.k.","60","0","20"
"Libya","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k."
"Mauritania","207","213","229","52","52","55","2.41","2.15","2.27","16","0","5"
"Morocco","5,961","6,521","6,413","168","182","175","4.92","4.57","4.50","196","150","50"
"Oman","7,483","6,431","6,431","2,059","1,741","1,709","10.12","7.49","5.90","43","0","4"
"Palestinian Territories","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","0","0","n.k."
"Qatar","6,466","6,258","8,419","2,645","2,523","3,357","4.48","3.48","3.80","17","0","5"
"Saudi Arabia","52,000","50,667","45,600","1,522","1,457","1,290","7.39","6.08","4.51","257","0","25"
"Syria","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","169","0","100"
"Tunisia","1,153","1,231","1,283","98","104","108","2.91","2.81","2.95","36","0","12"
"United Arab Emirates","19,826","19,159","20,356","1,984","1,944","2,053","5.52","4.56","4.04","63","0","0"
"Yemen","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","40","0","0"
"Total**","161,564","173,176","187,442","921","1024","1064","4.81","4.28","3.79","2,572","1,683","1,152"
"Latin America and the Caribbean",,,,,,,,,,,,
"Antigua and Barbuda","8","7","8","80","75","76","0.57","0.50","0.45","0","0","0"
"Argentina","2,904","2,588","3,380","64","56","73","0.75","0.53","0.54","72","0","31"
"Bahamas","86","95","95","254","270","266","0.88","0.85","0.74","2","0","0"
"Barbados","41","40","42","138","132","140","0.87","0.82","0.73","1","0","0"
"Belize","25","20","23","61","49","57","1.26","0.86","0.87","2","1","0"
"Bolivia","479","476","481","41","40","40","1.30","1.17","1.11","34","0","37"
"Brazil","22,234","21,293","22,951","105","100","106","1.53","1.32","1.21","367","1,340","395"
"Chile","4,049","4,041","3,758","223","221","204","1.60","1.28","1.21","69","19","45"
"Colombia","5,480","6,078","6,307","112","121","129","2.04","1.95","1.85","256","35","172"
"Costa Rica","457","430","423","90","84","81","0.75","0.68","0.62","0","0","10"
"Cuba","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","49","39","27"
"Dominican Republic","589","582","761","56","55","71","0.75","0.61","0.68","56","0","15"
"Ecuador","1,545","1,593","1,581","91","93","91","1.56","1.51","1.37","41","118","1"
"El Salvador","172","248","257","27","38","39","0.71","0.86","0.80","25","10","26"
"Guatemala","366","340","400","21","20","23","0.47","0.40","0.44","18","64","25"
"Guyana","66","71","85","88","90","107","1.20","0.92","0.57","3","1","0"
"Haiti","10","37","14","1","3","1","0.07","0.18","0.07","1","0","0"
"Honduras","345","352","371","37","38","39","1.45","1.24","1.21","15","60","8"
"Jamaica","238","207","204","85","73","72","1.71","1.34","1.27","6","3","0"
"Mexico","5,352","6,713","5,743","42","52","44","0.49","0.52","0.40","216","82","137"
"Nicaragua","79","81","85","13","13","13","0.63","0.58","0.54","12","0","0"
"Panama","753","830","870","193","211","201","1.40","1.31","1.22","0","0","28"
"Paraguay","278","278","276","39","38","37","0.78","0.72","0.66","14","165","15"
"Peru","2,132","1,818","1,746","67","56","54","1.04","0.80","0.73","81","188","77"
"Suriname","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","2","0","0"
"Trinidad and Tobago","954","773","838","789","633","596","4.46","3.22","2.86","5","1","0"
"Uruguay","509","516","546","150","152","160","0.95","0.87","0.77","21","0","1"
"Venezuela","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","123","8","220"
"Total**","49,150","49,508","51,245","115","109","109","1.17","1.00","0.92","1,488","2,132","1,269"
"Sub-Saharan Africa",,,,,,,,,,,,
"Angola","1,014","993","1,760","31","30","51","1.74","1.32","1.41","107","0","10"
"Benin","56","226","394","4","17","29","0.36","1.27","2.24","12","0","5"
"Botswana","560","520","495","242","221","208","3.75","2.95","2.75","9","0","0"
"Burkina Faso","388","459","469","19","21","21","2.23","2.40","2.57","7","0","4"
"Burundi","62","65","67","5","5","5","2.02","1.95","1.81","30","0","1"
"Cabo Verde","12","12","12","20","20","19","0.62","0.57","0.56","1","0","0"
"Cameroon","407","444","419","15","16","14","1.00","0.98","0.95","25","0","9"
"Central African Rep","41","43","39","7","8","7","1.73","1.67","1.56","9","0","1"
"Chad","274","286","259","16","16","14","2.55","2.43","2.00","33","0","12"
"Congo","311","313","264","59","58","48","3.01","2.48","1.82","10","0","2"
"Cote d'Ivoire","608","638","610","22","23","6","0.99","0.91","0.89","27","0","n.k."
"Dem Republic of the Congo","346","291","372","3","3","13","0.71","0.52","0.58","134","0","0"
"Djibouti","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","8","0","5"
"Equatorial Guinea","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","1","0","0"
"Eritrea","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","302","n.k.","0"
"Ethiopia","429","377","1,576","4","3","14","0.44","0.38","1.42","503","0","0"
"Gabon","272","312","280","122","136","119","1.77","1.54","1.26","5","0","2"
"Gambia","15","16","14","7","7","6","0.82","0.79","0.65","4","0","0"
"Ghana","276","362","262","9","11","8","0.39","0.46","0.34","16","0","0"
"Guinea","211","247","327","17","19","25","1.49","1.53","1.66","10","0","3"
"Guinea-Bissau","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","4","0","0"
"Kenya","1,102","1,099","1,346","21","20","24","1.09","0.99","1.17","24","0","5"
"Lesotho","38","35","40","19","16","18","1.84","1.42","1.58","2","0","0"
"Liberia","12","20","19","2","4","3","0.40","0.56","0.48","2","0","0"
"Madagascar","107","102","102","4","4","4","0.82","0.71","0.68","14","0","8"
"Malawi","69","82","75","3","4","4","0.58","0.69","0.65","11","0","4"
"Mali","787","855","831","40","42","40","4.50","4.47","4.51","21","0","20"
"Mauritius","225","202","230","163","146","176","2.06","1.81","2.00","0","0","3"
"Mozambique","131","143","145","4","5","5","0.93","0.91","0.81","11","0","0"
"Namibia","378","367","363","144","137","133","3.58","2.98","2.91","10","0","6"
"Niger","211","203","244","9","9","10","1.53","1.35","1.66","33","0","25"
"Nigeria","2,505","2,423","2,778","12","11","12","0.58","0.55","0.55","143","0","80"
"Rwanda","128","152","169","10","12","13","1.26","1.38","1.40","33","0","2"
"Senegal","346","474","423","22","29","24","1.41","1.72","1.54","14","0","5"
"Seychelles","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","0","0","0"
"Sierra Leone","24","33","26","4","5","3","0.58","0.79","0.63","9","0","0"
"Somalia","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","14","0","0"
"South Africa","3,321","3,342","3,090","59","59","54","0.98","0.80","0.75","74","0","15"
"South Sudan","92","43","64","9","4","6","1.37","0.84","1.33","53","0","0"
"Sudan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","104","0","40"
"Tanzania","803","903","943","14","15","15","1.25","1.28","1.23","27","80","1"
"Togo","116","118","173","13","14","20","1.53","1.40","2.07","13","0","3"
"Uganda","960","1,222","1,091","22","27","24","2.56","2.84","2.26","45","10","1"
"Zambia","358","282","444","21","15","23","1.98","1.32","1.64","15","3","1"
"Zimbabwe","39","287","751","3","19","50","0.17","0.87","1.96","29","0","22"
"Total**","17,034","17,992","20,965","32","32","33","1.49","1.42","1.48","1,960","93","295"
"Summary",,,,,,,,,,,,
"North America","794,671","782,823","791,223","1,431","1,439","1,458","2.47","2.24","2.09","1,426","852","5"
"Europe","314,753","348,476","335,152","412","471","467","1.46","1.47","1.46","1,948","1,705","649"
"Russia and Eurasia","52,367","58,751","76,955","117","126","148","2.37","2.13","1.97","2,202","2,758","1,033"
"Asia","456,944","497,432","515,635","279","312","309","2.20","1.82","1.64","9,178","13,295","3,507"
"Middle East and North Africa","161,564","173,176","187,442","921","1,024","1,064","4.81","4.28","3.79","2,572","1,683","1,152"
"Latin America and the Caribbean","49,150","49,508","51,245","115","109","109","1.17","1.00","0.92","1,488","2,132","1,269"
"Sub-Saharan Africa","17,034","17,992","20,965","32","32","33","1.49","1.42","1.48","1,960","93","295"
"Global totals","1,846,484","1,928,158","1,978,617","295","321","326","1.96","1.76","1.67","20,774","22,517","7,911"
