"","Defence Spending (current USDm)",,,"Defence Spending per capita (current USD)",,,"Defence Spending % of GDP",,,"Active Armed Forces (000)","Estimated Reservists (000)","Active Paramilitary (000)"
"Sweden","8,296","7,898","9,217","808","753","875","1.30","1.34","1.54","15","11","0"
"Switzerland","5,689","5,521","5,949","673","649","695","0.70","0.67","0.66","21","123","0"
"Turkiye","9,547","6,253","9,692","116","75","116","1.17","0.69","0.84","355","379","157"
"United Kingdom*","71,976","72,184","73,488","1,090","1,065","1,079","2.30","2.34","2.21","144","71","0"
"Total","349,341","338,201","388,121","471","472","570","1.45","1.52","1.64","1,933","1,748","656"
"Russia and Eurasia",,,,,,,,,,,,
"Armenia","619","781","1,288","205","260","431","4.46","4.00","5.25","43","210","4"
"Azerbaijan","2,698","2,641","3,129","262","255","300","4.92","3.36","4.04","68","300","15"
"Belarus","640","761","994","68","81","106","0.94","1.04","1.44","49","290","110"
"Georgia","279","315","481","57","64","98","1.69","1.38","1.69","21","0","5"
"Kazakhstan","1,538","1,867","2,533","80","96","130","0.78","0.83","0.98","39","0","32"
"Kyrgyzstan","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","11","0","10"
"Moldova","52","48","87","16","14","27","0.38","0.37","0.54","5","58","1"
"Russia [a]","48,504","74,742","74,761","341","526","528","2.64","3.33","4.01","1,100","1,500","559"
"Tajikistan","94","108","141","10","12","15","1.05","1.03","1.19","9","20","8"
"Turkmenistan*","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","37","0","20"
"Ukraine [b]","4,308","3,547","30,896","98","81","713","2.21","-","-","800","400","250"
"Uzbekistan","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","48","0","20"
"Total**","58,731","84,809","114,310","126","154","261","2.12","1.70","2.13","2,229","2,778","1,033"
"Asia",,,,,,,,,,,,
"Afghanistan","2,083","n.k.","n.k","56","n.k.","n.k.","n.k.","n.k.","n.k.","150","0","0"
"Australia","34,185","33,197","34,422","1,324","1,270","1,301","2.08","1.95","2.04","58","21","0"
"Bangladesh","4,059","4,320","4,021","25","26","24","0.98","0.94","0.90","171","0","64"
"Brunei","454","433","485","964","907","999","3.24","2.60","3.20","7","1","1"
"Cambodia*","1,024","1,003","1,182","59","60","70","3.85","3.48","3.82","124","0","67"
"China","213,923","218,639","219,455","151","154","154","1.20","1.22","1.24","2,035","510","500"
"Fiji","46","43","49","49","45","51","1.06","0.86","0.89","4","6","0"
"India","67,498","72,768","73,582","50","52","53","2.14","2.15","1.97","1,476","1,155","1,616"
"Indonesia","8,407","8,982","8,782","31","32","31","0.71","0.68","0.62","405","400","290"
"Japan","52,198","46,954","49,038","419","378","396","1.04","1.11","1.16","247","56","15"
"Korea, DPR of","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","1,280","600","189"
"Korea, Republic of","46,258","42,287","43,844","894","816","844","2.54","2.53","2.57","500","3,100","14"
"Laos","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","29","0","100"
"Malaysia","3,828","3,668","4,006","114","108","117","1.02","0.90","0.93","113","52","23"
"Maldives","92","102","110","236","262","282","1.72","1.65","1.57","4","0","0"
"Mongolia","100","91","92","31","28","28","0.67","0.55","0.51","10","137","8"
"Myanmar","3,409","2,083","3,051","60","36","53","5.23","3.15","4.08","201","0","107"
"Mepal","418","422","424","14","14","14","1.13","1.03","1.03","97","0","15"
"Mew Zealand","3,269","3,299","3,735","655","653","731","1.31","1.36","1.50","9","3","0"
"Pakistan","10,300","9,768","11,057","43","40","45","2.96","2.61","2.76","660","0","291"
"Papua New Guinea","87","98","98","12","10","10","0.33","0.31","0.31","4","0","0"
"Philippines","6,805","7,058","6,177","61","62","53","1.74","1.75","1.43","146","131","26"
"Singapore","11,433","12,346","13,401","1,949","2,085","2,243","2.70","2.64","2.69","51","253","7"
"Sri Lanka","1,548","1,156","1,267","67","50","54","1.75","1.54","1.69","266","6","64"
"Taiwan","16,179","15,825","18,889","686","671","801","2.09","2.08","2.51","169","1,657","12"
"Thailand","6,709","5,702","5,670","97","82","81","1.33","1.15","1.11","361","200","94"
"Timor-Leste","39","44","55","48","77","82","1.08","0.90","2.72","2","0","0"
"Tonga","5","8","9","28","31","37","1.08","1.63","1.59","1","0","0"
"Vietnam*","6,308","5,805","7,390","61","56","71","1.71","1.43","1.71","450","5,000","40"
"Total **","500,665","496,103","510,291","303","308","332","1.80","1.62","1.79","9,029","13,287","3,541"
"Middle East and North Africa",,,,,,,,,,,,
"Algeria","9,088","9,158","18,313","209","207","409","5.57","4.70","8.17","139","150","187"
"Bahrain","1,399","1,399","1,401","916","908","902","3.57","3.16","3.12","8","0","11"
"Egypt","4,839","5,211","3,582","45","48","33","1.45","1.37","1.23","439","479","397"
"Iran","5,113","7,386","7,408","60","85","85","1.77","2.13","2.02","610","350","40"
"Iraq","7,423","6,996","10,264","187","173","249","3.72","2.77","4.06","193","0","266"
"Israel","20,408","19,033","19,175","2,323","2,135","2,120","4.84","4.25","4.31","170","465","8"
"Jordan","1,801","1,933","1,853","165","176","167","4.93","4.96","4.50","101","65","15"
"Kuwait","9,697","7,812","7,766","3,198","2,546","2,502","7.06","4.45","4.86","18","24","7"
"Lebanon","285","263","n.k","54","50","n.k.","1.98","2.03","n.k.","60","0","20"
"Libya","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k."
"Mauritania","213","226","244","52","54","57","2.15","2.28","2.35","16","0","5"
"Morocco","6,521","6,071","6,478","182","165","175","4.61","4.65","4.40","196","150","50"
"Oman","6,431","6,432","6,507","1,741","1,709","1,698","7.29","5.61","6.01","43","0","4"
"Palestinian Territories","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","0","0","n.k."
"Qatar","6,258","8,419","9,021","2,523","3,357","3,562","3.48","3.56","3.83","17","0","5"
"Saudi Arabia","50,667","65,333","69,067","1,457","1,848","1,922","5.83","5.90","6.46","257","0","25"
"Syria","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","169","0","100"
"Tunisia","1,231","1,146","1,209","104","96","101","2.82","2.60","2.45","36","0","12"
"United Arab Emirates","19,159","20,356","20,744","1,944","2,053","2,080","4.61","4.01","4.07","63","0","0"
"Yemen","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","40","0","0"
"Total**","150,535","167,175","183,032","947","976","1071","4.11","3.65","4.12","2,572","1,683","1,152"
"Latin America and the Caribbean",,,,,,,,,,,,
"Antigua and Barbuda","7","8","8","75","83","80","0.47","0.47","0.42","0","0","0"
"Argentina","2,588","3,352","2,940","56","72","63","0.53","0.53","0.47","72","0","31"
"Bahamas","95","94","106","270","266","297","0.83","0.73","0.77","2","0","0"
"Barbados","40","42","44","134","140","144","0.83","0.75","0.70","1","0","0"
"Belize","20","23","28","49","57","67","0.84","0.78","0.88","2","1","1"
"Bolivia","476","481","473","40","40","39","1.17","1.09","1.01","34","0","37"
"Brazil","21,528","22,558","24,249","101","104","111","1.30","1.17","1.14","367","1,340","395"
"Chile","4,041","3,672","4,362","221","199","235","1.28","1.22","1.27","69","19","45"
"Colombia","5,220","5,029","5,412","104","103","110","1.65","1.48","1.50","257","35","165"
"Costa Rica","430","418","493","84","80","94","0.68","0.62","0.58","0","0","10"
"Cuba","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","49","39","27"
"Dominican Republic","582","761","894","55","71","83","0.62","0.67","0.74","57","0","15"
"Ecuador","1,593","1,581","1,666","93","91","95","1.51","1.38","1.41","40","118","1"
"El Salvador","248","257","251","38","39","38","0.84","0.79","0.71","25","10","26"
"Guatemala","340","408","412","19","23","23","0.39","0.43","0.40","18","64","25"
"Guyana","77","89","97","97","112","123","1.00","0.61","0.59","3","1","0"
"Haiti","37","14","19","3","1","2","0.18","0.07","0.07","1","0","0"
"Honduras","350","379","426","37","40","45","1.24","1.20","1.25","15","60","8"
"Jamaica","216","231","232","77","82","82","1.47","1.36","1.24","6","3","0"
"Mexico","6,713","5,777","7,834","52","45","60","0.51","0.39","0.43","216","82","137"
"Nicaragua","77","84","95","12","13","15","0.54","0.53","0.55","12","0","0"
"Panama","830","847","903","211","195","205","1.23","1.11","1.10","0","0","28"
"Paraguay","280","279","300","38","38","40","0.70","0.67","0.68","14","165","15"
"Peru","1,818","1,821","1,917","56","56","59","0.80","0.75","0.72","81","188","77"
"Suriname","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","2","0","0"
"Trinidad and Tobago","491","481","512","402","343","364","2.05","1.60","1.84","5","1","0"
"Uruguay","517","556","573","152","163","168","0.84","0.78","0.75","21","0","1"
"Venezuela","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","123","8","220"
"Total**","48,612","49,243","54,246","99","98","106","0.94","0.85","0.85","1,489","2,132","1,263"
"Sub-Saharan Africa",,,,,,,,,,,,
"Angola","993","1,708","1,250","30","49","35","1.33","1.39","1.33","107","0","10"
"Benin","98","97","129","7","7","9","0.55","0.56","0.64","12","0","5"
"Botswana","540","499","547","230","209","226","2.88","2.45","2.63","9","0","0"
"Burkina Faso","459","467","832","21","21","37","2.32","2.47","4.01","7","0","4"
"Burundi","65","67","65","5","5","5","1.95","1.70","2.03","30","0","1"
"Cabo Verde","444","417","459","16","14","15","0.98","0.94","0.93","1","0","0"
"Cameroon","13","11","15","21","19","25","0.61","0.50","0.58","25","0","9"
"Central African Rep","43","39","63","8","7","11","1.67","1.57","2.29","9","0","1"
"Chad","286","318","352","16","18","19","2.43","2.63","2.79","33","0","12"
"Congo","313","263","288","58","47","51","2.34","1.88","2.00","10","0","2"
"Cote d'Ivoire","638","608","687","23","6","23","0.89","0.87","0.86","27","0","n.k."
"Dem Republic of the Congo","291","374","765","3","13","7","0.51","0.57","1.13","134","0","0"
"Djibouti","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","8","0","5"
"Equatorial Guinea","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","2","0","0"
"Eritrea","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","302","n.k.","0"
"Ethiopia","377","430","1,540","3","4","13","0.38","0.36","0.99","503","0","0"
"Gabon","312","278","267","136","119","111","1.54","1.32","1.38","5","0","2"
"Gambia","16","14","14","7","6","6","0.79","0.63","0.58","4","0","0"
"Ghana","362","266","335","11","8","10","0.46","0.37","0.44","19","0","0"
"Guinea","247","447","501","19","34","37","1.56","2.20","2.16","10","0","3"
"Guinea-Bissau","26","25","26","13","12","12","1.53","1.43","1.28","4","0","0"
"Kenya","1,165","1,340","1,282","21","24","22","1.06","1.18","1.14","24","0","5"
"Lesotho","35","38","34","16","17","15","1.37","1.52","1.43","2","0","0"
"Liberia","20","19","16","4","3","3","0.56","0.47","0.38","2","0","0"
"Madagascar","102","103","107","4","4","0.70","0.68","0.68","14","0","8",""
"Malawi","92","77","62","5","4","3","0.74","0.61","0.47","11","0","4"
"Mali","855","827","1,090","42","40","51","4.32","4.31","5.11","21","0","20"
"Mauritius","202","235","242","146","180","185","1.76","1.82","1.63","0","0","3"
"Mozambique","143","162","195","5","5","6","0.89","0.84","0.89","11","0","0"
"Namibia","367","357","350","137","131","126","2.95","2.84","2.76","10","0","6"
"Niger","203","243","334","9","10","13","1.36","1.57","1.96","39","0","48"
"Nigeria","2,423","2,832","1,989","11","13","9","0.55","0.59","0.51","143","0","80"
"Rwanda","160","177","193","12","13","14","1.45","1.33","1.39","33","0","2"
"Senegal","474","422","452","29","24","25","1.72","1.52","1.45","14","0","5"
"Seychelles","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","0","0","0"
"Sierra Leone","34","24","20","5","3","2","0.83","0.61","0.57","9","0","0"
"Somalia","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","14","0","0"
"South Africa","3,342","3,195","2,859","59","56","49","0.80","0.79","0.75","69","0","15"
"South Sudan","60","49","48","5","4","4","1.01","0.57","0.77","90","0","0"
"Sudan","n.k.","n.k.","n.k","n.k.","n.k.","n.k","n.k.","n.k.","n.k.","104","0","0"
"Tanzania","927","1,019","1,147","15","16","17","1.33","1.32","1.36","27","80","1"
"Togo","118","170","198","14","20","23","1.42","2.08","2.18","14","0","3"
"Uganda","1,265","1,048","1,014","28","23","21","2.96","2.17","1.94","45","10","1"
"Zambia","282","450","411","15","23","20","1.27","1.51","1.39","15","3","1"
"Zimbabwe","268","341","96","18","23","6","0.75","1.08","0.30","29","0","22"
"Total[1]","18,061","19,456","20,274","32","32","33","1.40","1.37","1.46","2,002","93","279"
"Summary",,,,,,,,,,,,
"North America","782,823","862,983","929,650","1,439","1,559","1,647","2.21","2.21","2.25","1,393","841","6"
"Europe","349,341","338,201","388,121","471","472","570","1.45","1.52","1.64","1,933","1,748","656"
"Russia and Eurasia","58,731","84,809","114,310","126","154","261","2.12","1.70","2.13","2,229","2,778","1,033"
"Asia","500,665","496,103","510,291","303","308","332","1.80","1.62","1.79","9,029","13,287","3,541"
"Middle East and North Africa**","150,535","167,175","183,032","947","976","1,071","4.11","3.65","4.12","2,572","1,683","1,152"
"Latin America and the Caribbean","48,612","49,243","54,246","99","98","106","0.94","0.85","0.85","1,489","2,132","1,263"
"Sub-Saharan Africa","18,061","19,456","20,274","32","32","33","1.40","1.37","1.46","2,002","93","279"
"Global totals","1,908,768","2,017,971","2,199,924","313","320","362","1.74","1.63","1.77","20,646","22,561","7,930"
